City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,omsukchan,62.5333,155.8,15.06,89,100,3.31,RU,2023-03-31 20:50:40
105,floro,61.5996,5.0328,39.16,87,0,5.75,NO,2023-03-31 20:50:40
106,bambous virieux,-20.3428,57.7575,80.22,89,75,10.36,MU,2023-03-31 20:41:55
107,hobart,-42.8794,147.3294,47.26,79,20,5.75,AU,2023-03-31 20:37:10
108,troitsk,54.0979,61.5773,31.01,80,100,8.01,RU,2023-03-31 20:50:41
109,burnie,-41.0667,145.9167,42.94,84,50,7.74,AU,2023-03-31 20:42:41
110,pochutla,15.7432,-96.4661,91.81,46,96,9.19,MX,2023-03-31 20:50:41
111,tateyama,34.9833,139.8667,58.5,72,0,4.23,JP,2023-03-31 20:41:59
112,awbari,26.5921,12.7805,65.44,13,0,5.48,LY,2023-03-31 20:50:41
113,la crosse,43.8014,-91.2396,51.93,94,100,6.91,US,2023-03-31 20:47:56
114,fort nelson,58.8053,-122.7002,29.95,69,100,9.22,CA,2023-03-31 20:42:56
115,alofi,-19.0595,-169.9187,80.49,89,40,9.22,NU,2023-03-31 20:50:41
116,eureka,40.8021,-124.1637,57.2,63,100,7.0,US,2023-03-31 20:39:59
117,flin flon,54.7682,-101.865,35.44,41,75,11.5,CA,2023-03-31 20:50:41
118,yellowknife,62.456,-114.3525,5.56,51,75,11.5,CA,2023-03-31 20:37:18
119,thompson,55.7435,-97.8558,23.16,39,75,2.3,CA,2023-03-31 20:42:04
120,cairns,-16.9167,145.7667,78.06,97,100,0.0,AU,2023-03-31 20:42:54
121,cayenne,4.9333,-52.3333,82.44,74,75,9.22,GF,2023-03-31 20:42:53
122,birin,26.8865,88.0718,52.84,82,100,2.89,NP,2023-03-31 20:50:41
123,chokurdakh,70.6333,147.9167,-18.35,98,100,8.43,RU,2023-03-31 20:41:54
124,san ramon,37.7799,-121.978,61.56,51,0,6.91,US,2023-03-31 20:50:41
125,luanda,-8.8368,13.2343,82.4,74,20,12.84,AO,2023-03-31 20:50:41
126,belmonte,-15.8631,-38.8828,78.42,78,5,6.38,BR,2023-03-31 20:50:41
127,raudeberg,61.9875,5.1352,38.07,74,0,5.32,NO,2023-03-31 20:50:42
128,vaasa,63.096,21.6158,22.05,87,0,5.01,FI,2023-03-31 20:50:42
129,sisimiut,66.9395,-53.6735,9.66,72,11,9.86,GL,2023-03-31 20:50:42
130,progreso,21.2833,-89.6667,95.11,60,31,19.95,MX,2023-03-31 20:42:42
131,hambantota,6.1241,81.1185,78.8,79,7,2.98,LK,2023-03-31 20:42:38
132,kismayo,-0.3582,42.5454,81.43,74,9,12.55,SO,2023-03-31 20:50:42
133,umm lajj,25.0213,37.2685,68.52,51,0,14.81,SA,2023-03-31 20:42:00
134,richards bay,-28.783,32.0377,68.31,90,95,5.06,ZA,2023-03-31 20:42:55
